date,region,numtotal,numtested,numactive,numtoday,ratetested
2020-04-15,Prince Edward Island,26,1863.0,26.0,1,11870.0
2020-04-15,Yukon,8,841.0,8.0,0,20585.0
2020-04-15,Northwest Territories,5,1401.0,5.0,0,31254.0
2020-04-15,Canada,28381,467736.0,27371.0,1318,12443.0
2020-04-16,British Columbia,1561,51297.0,531.0,0,10115.0
2020-04-16,Alberta,2158,85502.0,2108.0,162,19560.0
2020-04-16,Saskatchewan,305,20631.0,301.0,1,17566.0
2020-04-16,Manitoba,250,18318.0,245.0,4,13376.0
2020-04-16,Ontario,8961,125309.0,8538.0,514,8603.0
2020-04-16,Quebec,15857,148571.0,15227.0,997,17510.0
