date,region,numtotal,numdeaths,numactive,numtoday,numtested,ratetotal,ratetested
2020-04-08,British Columbia,1336,48.0,450.0,45,44269.0,26.34,8729.0
2020-04-08,Alberta,1423,29.0,1394.0,50,66783.0,32.55,15278.0
2020-04-08,Saskatchewan,271,3.0,268.0,11,15059.0,23.07,12822.0
2020-04-08,Manitoba,221,3.0,218.0,4,14569.0,16.14,10638.0
2020-04-08,Ontario,5276,174.0,5102.0,550,85703.0,36.22,5884.0
2020-04-08,Quebec,10031,175.0,9856.0,691,109270.0,118.22,12878.0
2020-04-08,Newfoundland and Labrador,232,2.0,230.0,4,4135.0,44.48,7928.0
2020-04-08,New Brunswick,108,0.0,108.0,3,6477.0,13.9,8338.0
2020-04-08,Nova Scotia,342,1.0,341.0,32,12072.0,35.21,12427.0
2020-04-08,Prince Edward Island,24,0.0,24.0,2,1347.0,15.29,8583.0
2020-04-08,Yukon,7,0.0,7.0,0,794.0,17.13,19435.0
2020-04-08,Northwest Territories,5,0.0,5.0,0,1251.0,11.15,27908.0
2020-04-08,Canada,19289,435.0,18854.0,1392,361969.0,51.32,9630.0
2020-04-09,British Columbia,1370,50.0,462.0,34,45156.0,27.01,8904.0
2020-04-09,Alberta,1451,32.0,1419.0,28,68116.0,33.19,15582.0
2020-04-09,Saskatchewan,278,3.0,275.0,7,16059.0,23.67,13673.0
2020-04-09,Manitoba,224,3.0,221.0,3,14569.0,16.36,10638.0
2020-04-09,Ontario,5759,200.0,5559.0,483,89906.0,39.54,6172.0
2020-04-09,Quebec,10912,216.0,10696.0,881,113365.0,128.6,13361.0
2020-04-09,Newfoundland and Labrador,236,3.0,233.0,4,4384.0,45.25,8406.0
2020-04-09,New Brunswick,111,0.0,111.0,3,6949.0,14.29,8945.0
2020-04-09,Nova Scotia,373,2.0,371.0,31,13045.0,38.4,13429.0
